glottocode,num_oral_cons,num_nasal_cons,num_oral_vowel,num_nasal_vowel,name,isocodes,level,macroarea,latitude,longitude
kore1280,19.0,3.0,18.0,0.0,Korean,kor,language,Eurasia,37.54,126.98
kett1243,14.0,4.0,14.0,0.0,Ket,ket,language,Eurasia,63.7551,87.5466
lakk1252,58.0,2.0,9.0,0.0,Lak,lbe,language,Eurasia,42.1328,47.0809
kaba1278,47.0,2.0,7.0,0.0,Kabardian,kbd,language,Eurasia,43.5082,43.3918
nucl1302,27.0,2.0,6.0,0.0,Georgian,kat,language,Eurasia,41.850397,43.78613
buru1296,35.0,3.0,10.0,2.0,Burushaski,bsk,language,Eurasia,36.2161,74.8236
kuru1302,42.0,4.0,12.0,10.0,Indian Kurux,,dialect,Eurasia,24.4644,86.4657
telu1262,42.0,5.0,21.0,0.0,Telugu,tel,language,Eurasia,16.4529,78.7024
kota1263,19.0,4.0,11.0,0.0,Kota (India),kfe,language,Eurasia,11.4978,76.9387
mund1320,28.0,4.0,5.0,0.0,Mundari,unr,language,Eurasia,23.03,85.85
khar1287,27.0,4.0,5.0,5.0,Kharia,khr,language,Eurasia,22.3571,84.3922
khas1269,17.0,4.0,7.0,0.0,Khasi,kha,language,Eurasia,24.977,91.9998
seda1262,23.0,16.0,14.0,0.0,Sedang,sed,language,Eurasia,14.7793,108.027
cent1989,17.0,4.0,21.0,0.0,Central Khmer,khm,language,Eurasia,12.0515,105.015
viet1252,18.0,4.0,11.0,0.0,Vietnamese,vie,language,Eurasia,20.681188,105.774071
mand1415,24.0,3.0,10.0,2.0,Mandarin Chinese,cmn,language,Eurasia,40.0209,116.228
wuch1236,23.0,3.0,7.0,5.0,Wu Chinese,wuu,language,Eurasia,29.8621,119.682
hakk1236,15.0,3.0,7.0,2.0,Hakka Chinese,hak,language,Eurasia,25.0,116.0
yuec1235,17.0,3.0,5.0,2.0,Yue Chinese,yue,language,Eurasia,23.0,113.0
iumi1238,25.0,8.0,8.0,2.0,Iu Mien,ium,language,Eurasia,20.83,101.17
nyis1236,13.0,3.0,9.0,0.0,Nyishi-Hill Miri,njz,language,Eurasia,27.278263,93.675529
nucl1310,26.0,8.0,8.0,5.0,Burmese,mya,language,Eurasia,20.7926,93.9665
lahu1253,23.0,3.0,9.0,0.0,Lahu,lhu,language,Eurasia,21.2701,100.214
garo1247,15.0,6.0,5.0,0.0,Garo,grt,language,Eurasia,25.2954,90.462
sgaw1245,23.0,4.0,9.0,0.0,S'gaw Karen,ksw,language,Eurasia,17.9872,97.7126
lakk1238,23.0,8.0,12.0,10.0,Lakkia,lbc,language,Eurasia,24.1169,110.106
thai1261,18.0,3.0,18.0,0.0,Thai,tha,language,Eurasia,14.192,100.671
bouy1240,20.0,4.0,8.0,0.0,Bouyei,pcc,language,Eurasia,24.8484,106.187
east2563,20.0,4.0,9.0,0.0,Eastern Cham,cjm,language,Eurasia,11.2853,108.49
atay1247,16.0,3.0,8.0,0.0,Atayal,tay,language,Papunesia,24.5209,121.388
plat1254,19.0,12.0,5.0,0.0,Plateau Malagasy,plt,language,Africa,-19.5907,47.1211
stan1306,17.0,4.0,6.0,0.0,Standard Malay,zsm,language,Eurasia,3.08896,101.699
bata1289,13.0,3.0,5.0,0.0,Batak Toba,bbc,language,Papunesia,2.35498,99.1761
saba1265,24.0,8.0,10.0,4.0,Sa'ban,snv,language,Papunesia,3.58723,115.664
sund1252,15.0,4.0,7.0,0.0,Sundanese,sun,language,Papunesia,-6.89708,107.106
java1254,18.0,4.0,8.0,0.0,Javanese,jav,language,Papunesia,-7.001,109.287
taga1270,15.0,3.0,10.0,0.0,Tagalog,tgl,language,Papunesia,14.06,121.747
cham1312,24.0,6.0,6.0,0.0,Chamorro,cha,language,Papunesia,13.438011,144.74474
iaai1238,23.0,10.0,19.0,0.0,Iaai,iai,language,Papunesia,-20.6301,166.59
adze1240,15.0,3.0,7.0,0.0,Adzera,adz,language,Papunesia,-6.39394,146.294
maor1246,7.0,3.0,10.0,0.0,Maori,mri,language,Papunesia,-38.2881,176.541
hawa1245,7.0,2.0,10.0,0.0,Hawaiian,haw,language,Papunesia,19.6297,-155.43
anta1253,12.0,5.0,6.0,0.0,Antakarinya,ant,language,Australia,-27.1152,134.838
nyan1301,14.0,6.0,7.0,0.0,Nyangumarta,nna,language,Australia,-20.6271,121.391
kunj1245,18.0,5.0,5.0,0.0,Kunjen,kjn,language,Australia,-16.6807,143.53
mara1386,13.0,6.0,5.0,0.0,Maranunggu,zmr,language,Australia,-13.6754,130.12
maun1240,14.0,5.0,5.0,0.0,Mawng,mph,language,Australia,-11.66,133.376
nung1290,13.0,6.0,5.0,0.0,Wubuy,nuy,language,Australia,-14.2623,135.753
alaw1244,13.0,10.0,5.0,0.0,Alawa,alh,language,Australia,-15.5458,134.282
wikm1247,9.0,4.0,10.0,0.0,Wik-Mungkan,wim,language,Australia,-13.98051,141.81611
nucl1632,8.0,2.0,7.0,0.0,Sentani,set,language,Papunesia,-2.6013,140.512
kwom1262,14.0,10.0,7.0,0.0,Kwoma,kmo,language,Papunesia,-4.08721,142.664
tamn1235,12.0,2.0,5.0,0.0,Tamnim Citak,tml,language,Papunesia,-5.57962,139.233
tele1256,14.0,3.0,8.0,0.0,Telefol,tlf,language,Papunesia,-5.07444,141.731
gads1258,7.0,2.0,6.0,0.0,Gadsup,gaj,language,Papunesia,-6.31631,145.997
awiy1238,7.0,4.0,6.0,0.0,Awiyaana,auy,language,Papunesia,-6.54079,145.76
kuni1267,12.0,3.0,5.0,0.0,Kunimaipa,kup,language,Papunesia,-8.09371,146.908
sele1250,9.0,6.0,6.0,0.0,Selepet,spl,language,Papunesia,-6.03532,147.234
naas1242,6.0,2.0,10.0,0.0,Naasioi,nas,language,Papunesia,-6.46022,155.632
aleu1260,24.0,6.0,6.0,0.0,Aleut,ale,language,North America,52.1228,-174.29
kala1399,24.0,8.0,6.0,0.0,Kalaallisut,kal,language,North America,69.3761,-52.864
chip1261,37.0,2.0,10.0,8.0,Chipewyan,chp,language,North America,58.98,-104.44
tolo1259,25.0,4.0,9.0,6.0,Tolowa-Chetco,tol,language,North America,41.9192,-124.1
hupa1239,32.0,3.0,7.0,0.0,Hupa-Chilula,hup,language,North America,41.0982,-123.68
nava1243,32.0,4.0,8.0,8.0,Navajo,nav,language,North America,36.33,-109.38
sout2956,41.0,6.0,3.0,0.0,Southern Haida,hax,language,North America,53.2616,-132.008
